epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.6420889496803284,0.5908788584920361,0.7414671504810388,0.8783561587333679,0.7032108784486086,0.9303411539709666
2,0.0005,0.43422523736953733,0.4307687882024627,0.6162041544688345,0.7793518900871277,0.6581601630418729,0.8716132014859492
3,0.0005,0.3620746672153473,0.38476158422015116,0.556753540794085,0.7541592121124268,0.6439282588469677,0.8626673637084961
4,0.0005,0.3071152299642563,0.3412239232896521,0.5184203386759615,0.6870830059051514,0.6006504522684293,0.8140996627094004
5,0.0005,0.285848993062973,0.3086021632265467,0.487028916092555,0.6406732201576233,0.5767940706931628,0.782013166491277
6,0.0005,0.2532093197107315,0.2888900080251034,0.4643758168643002,0.5709198117256165,0.5269049123311654,0.7336584813353872
7,0.0005,0.21427615284919738,0.2598120276284465,0.4164219720502362,0.5084758996963501,0.48934486966866714,0.6842986764737404
8,0.0005,0.19510790705680847,0.23116717575872026,0.37968323435126317,0.4568248689174652,0.45421027755125976,0.6349735999007089
9,0.0005,0.15289967209100724,0.21738038154054679,0.3486434715963386,0.4496437907218933,0.44572980052385575,0.6203535321305387
10,0.0005,0.14476700574159623,0.20521797201109593,0.33552463964922946,0.5002467632293701,0.4831263461174109,0.6474886129008391
11,0.0005,0.12435767203569412,0.190690509626919,0.30718585708703083,0.4540470838546753,0.44112146894137066,0.606678594539748
12,0.0005,0.11334971487522125,0.17998574222325248,0.2972523862066281,0.47113853693008423,0.4581730189995888,0.6236557692927301
13,0.0005,0.11853232085704804,0.17316337474412366,0.28514318084938506,0.45980826020240784,0.4453875674651219,0.6128720042651727
14,0.0005,0.09553692936897278,0.16622815049127723,0.2674426445137091,0.46493077278137207,0.44663787270203614,0.6084459110580926
15,0.0005,0.08361721485853195,0.15856129184984005,0.25797850641284387,0.484635591506958,0.4627584471152379,0.6162692428241341
16,0.00025,0.07684424370527268,0.14582013302066954,0.2407771508396649,0.46493178606033325,0.44390004873275757,0.6030644788087188
17,0.00025,0.07111096009612083,0.1374465539071799,0.22830025805957066,0.47156935930252075,0.44687421581684017,0.6080308033948892
18,0.00025,0.06860604956746101,0.1406407462220291,0.23236794633010882,0.4727918207645416,0.44420145948727924,0.6107516885879969
19,0.00025,0.07298502177000046,0.13597724640864403,0.22148960458229944,0.4818743169307709,0.4558771978586148,0.61824398823001
20,0.000125,0.06253965720534324,0.13292978031103173,0.21925025175953605,0.4869838058948517,0.4607867438059587,0.6216096422585353
21,0.000125,0.06653529480099678,0.12782692743600652,0.21318543261751022,0.48069310188293457,0.45597072213124007,0.6162298070827279
22,0.000125,0.05587225928902626,0.12391468961191425,0.2092236885558327,0.4882183074951172,0.4638979228643271,0.6191407590519791
23,0.000125,0.060707489401102065,0.1273477098881992,0.2140692314063445,0.5021696090698242,0.47412523321616346,0.62692072530923
